time_s,joint1_angle_rad,joint2_angle_rad,joint3_angle_rad,joint4_angle_rad,joint5_angle_rad,joint6_angle_rad,joint1_vel_rad_s,joint2_vel_rad_s,joint3_vel_rad_s,joint4_vel_rad_s,joint5_vel_rad_s,joint6_vel_rad_s,joint1_acc_rad_s2,joint2_acc_rad_s2,joint3_acc_rad_s2,joint4_acc_rad_s2,joint5_acc_rad_s2,joint6_acc_rad_s2
0.0,0.0,0.006000000000000001,-0.007,0.0,-0.008,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.010094642345559963,0.011777082736485232,0.0,0.0134595231274129,0.0
0.0021,0.0,0.006000000000000001,-0.007,0.0,-0.008,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.010094642345559963,0.011777082736485232,0.0,0.0134595231274129,0.0
0.0056,0.0,0.006000000000000001,-0.007,0.0,-0.008,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.010094642345559963,0.011777082736485232,0.0,0.0134595231274129,0.0
0.0077,0.0,0.006000000000000001,-0.007,0.0,-0.008,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.010094642345559963,0.011777082736485232,0.0,0.0134595231274129,0.0
0.0099,0.0,0.006000000000000001,-0.007,0.0,-0.008,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.010094642345559963,0.011777082736485232,0.0,0.0134595231274129,0.0
0.012,0.0,0.006000000000000001,-0.007,0.0,-0.008,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.010094642345559963,0.011777082736485232,0.0,0.0134595231274129,0.0
0.0143,0.0,0.006000000000000001,-0.007,0.0,-0.008,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.010094642345559963,0.011777082736485232,0.0,0.0134595231274129,0.0
0.0164,0.0,0.006000000000000001,-0.007,0.0,-0.008,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.010094642345559963,0.011777082736485232,0.0,0.0134595231274129,0.0
0.0186,0.0,0.006000000000000001,-0.007,0.0,-0.008,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.010094642345559963,0.011777082736485232,0.0,0.0134595231274129,0.0
0.0214,0.0,0.006000000000000001,-0.007,0.0,-0.008,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.010094642345559963,0.011777082736485232,0.0,0.0134595231274129,0.0
0.0235,0.0,0.006000000000000001,-0.007,0.0,-0.008,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.010094642345559963,0.011777082736485232,0.0,0.0134595231274129,0.0
0.0256,0.0,0.006000000000000001,-0.007,0.0,-0.008,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.010094642345559963,0.011777082736485232,0.0,0.0134595231274129,0.0
0.0277,0.0,0.006000000000000001,-0.007,0.0,-0.008,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.010094642345559963,0.011777082736485232,0.0,0.0134595231274129,0.0
0.0299,0.0,0.006000000000000001,-0.007,0.0,-0.008,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.010094642345559963,0.011777082736485232,0.0,0.0134595231274129,0.0
0.0321,0.0,0.006000000000000001,-0.007,0.0,-0.008,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.010094642345559963,0.011777082736485232,0.0,0.0134595231274129,0.0
0.0342,0.0,0.006000000000000001,-0.007,0.0,-0.008,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.010094642345559963,0.011777082736485232,0.0,0.0134595231274129,0.0
0.0363,0.0,0.006000000000000001,-0.007,0.0,-0.008,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.010094642345559963,0.011777082736485232,0.0,0.0134595231274129,0.0
0.0384,0.0,0.006000000000000001,-0.007,0.0,-0.008,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.010094642345559963,0.011777082736485232,0.0,0.0134595231274129,0.0
0.041,0.0,0.006000000000000001,-0.007,0.0,-0.008,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.010094642345559963,0.011777082736485232,0.0,0.0134595231274129,0.0
0.0432,0.0,0.006000000000000001,-0.007,0.0,-0.008,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.010094642345559963,0.011777082736485232,0.0,0.0134595231274129,0.0
0.0453,0.0,0.006000000000000001,-0.007,0.0,-0.008,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.010094642345559963,0.011777082736485232,0.0,0.0134595231274129,0.0
0.0475,0.0,0.006000000000000001,-0.007,0.0,-0.008,0.0,0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.010094642345559963,0.011777082736485232,0.0,0.0134595231274129,0.0
